director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
AnthonyO'Brien,JamesRansone,MariaDoyleKennedy,ShaunO'Hagan,adventure drama western,The Timber,JamesRansone MariaDoyleKennedy ShaunO'Hagan AnthonyO'Brien adventure drama western
TerenceYoung,RobertShaw,DanielaBianchi,LoisMaxwell,action adventure thriller,From Russia with Love,RobertShaw DanielaBianchi LoisMaxwell TerenceYoung action adventure thriller
MichaelHerz,PhoebeLegere,JessicaDublin,LisaGaye,action comedy horror sci-fi,The Toxic Avenger Part II,PhoebeLegere JessicaDublin LisaGaye MichaelHerz action comedy horror sci-fi
MichaelHerz,CarrollO'Connor,AlanAutry,CrystalR.Fox,crime drama mystery,In the Heat of the Night            ,CarrollO'Connor AlanAutry CrystalR.Fox MichaelHerz crime drama mystery
WoodyAllen,WoodyAllen,JohnBeck,MewsSmall,comedy sci-fi,Sleeper,WoodyAllen JohnBeck MewsSmall WoodyAllen comedy sci-fi
DavidRobertMitchell,MaikaMonroe,RubyHarris,JakeWeary,horror mystery,It Follows,MaikaMonroe RubyHarris JakeWeary DavidRobertMitchell horror mystery
WoodyAllen,WoodyAllen,JohnCarradine,LynnRedgrave,comedy,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,WoodyAllen JohnCarradine LynnRedgrave WoodyAllen comedy
RobertMulligan,RobertDuvall,BrockPeters,WilliamWindom,crime drama,To Kill a Mockingbird,RobertDuvall BrockPeters WilliamWindom RobertMulligan crime drama
GeorgeMiller,VernonWells,BruceSpence,KjellNilsson,action adventure sci-fi thriller,Mad Max 2: The Road Warrior,VernonWells BruceSpence KjellNilsson GeorgeMiller action adventure sci-fi thriller
Chia-LiangLiu,AndyLau,AnitaMui,Ho-SungPak,action comedy,The Legend of Drunken Master,AndyLau AnitaMui Ho-SungPak Chia-LiangLiu action comedy
StanleyKubrick,JamesMason,ShelleyWinters,LoisMaxwell,crime drama romance,Lolita,JamesMason ShelleyWinters LoisMaxwell StanleyKubrick crime drama romance
KimberlyPeirce,AliciaGoranson,BrendanSextonIII,JeannettaArnette,biography crime drama romance,Boys Don't Cry,AliciaGoranson BrendanSextonIII JeannettaArnette KimberlyPeirce biography crime drama romance
ChrisKentis,EricShefferStevens,JuliaTaylorRoss,AdamTrese,drama horror mystery thriller,Silent House,EricShefferStevens JuliaTaylorRoss AdamTrese ChrisKentis drama horror mystery thriller
FlorianHenckelvonDonnersmarck,SebastianKoch,UlrichMühe,MartinaGedeck,drama thriller,The Lives of Others,SebastianKoch UlrichMühe MartinaGedeck FlorianHenckelvonDonnersmarck drama thriller
AlexKendrick,BenDavies,AlexKendrick,T.C.Stallings,drama,Courageous,BenDavies AlexKendrick T.C.Stallings AlexKendrick drama
RobertRossen,GeorgeC.Scott,JackieGleason,MurrayHamilton,drama sport,The Hustler,GeorgeC.Scott JackieGleason MurrayHamilton RobertRossen drama sport
JackConway,HedyLamarr,SpencerTracy,ClaudetteColbert,adventure drama romance western,Boom Town,HedyLamarr SpencerTracy ClaudetteColbert JackConway adventure drama romance western
SylvainChomet,MichelRobin,CharlesLinton,BéatriceBonifassi,animation comedy drama,The Triplets of Belleville,MichelRobin CharlesLinton BéatriceBonifassi SylvainChomet animation comedy drama
ChrisEyre,MichaelGreyeyes,IreneBedard,GaryFarmer,comedy drama,Smoke Signals,MichaelGreyeyes IreneBedard GaryFarmer ChrisEyre comedy drama
ShariSpringerBerman,JoshHutcherson,JamesUrbaniak,DanielTay,biography comedy drama,American Splendor,JoshHutcherson JamesUrbaniak DanielTay ShariSpringerBerman biography comedy drama
RichardLinklater,VernonDobtcheff,AlbertDelpy,MariePillet,drama romance,Before Sunset,VernonDobtcheff AlbertDelpy MariePillet RichardLinklater drama romance
AlejandroG.Iñárritu,AdrianaBarraza,JorgeSalinas,GoyaToledo,drama thriller,Amores Perros,AdrianaBarraza JorgeSalinas GoyaToledo AlejandroG.Iñárritu drama thriller
CatherineHardwicke,HollyHunter,SarahClarke,KipPardue,drama,Thirteen,HollyHunter SarahClarke KipPardue CatherineHardwicke drama
EliaKazan,DeanStockwell,CelesteHolm,JohnGarfield,drama romance,Gentleman's Agreement,DeanStockwell CelesteHolm JohnGarfield EliaKazan drama romance
DebraGranik,JenniferLawrence,ShelleyWaggener,LaurenSweetser,drama,Winter's Bone,JenniferLawrence ShelleyWaggener LaurenSweetser DebraGranik drama
KevinMacdonald,NicholasAaron,BrendanMackey,JoeSimpson,adventure documentary drama sport,Touching the Void,NicholasAaron BrendanMackey JoeSimpson KevinMacdonald adventure documentary drama sport
