director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
AdamRobitel,LinShaye,AngusSampson,LeighWhannell,horror  mystery  thriller,Insidious: The Last Key,LinShaye AngusSampson LeighWhannell AdamRobitel horror  mystery  thriller
LaurenWolkstein,AlexPettyfer,JamesFreedson-Jackson,EmilyAlthaus,thriller  drama,The Strange Ones,AlexPettyfer JamesFreedson-Jackson EmilyAlthaus LaurenWolkstein thriller  drama
SimonWest,DominicCooper,AustinStowell,GemmaChan,action  thriller,Stratton,DominicCooper AustinStowell GemmaChan SimonWest action  thriller
WarwickThornton,BryanBrown,SamNeill,unknown,drama  history  western,Sweet Country,BryanBrown SamNeill unknown WarwickThornton drama  history  western
JaumeCollet-Serra,LiamNeeson,VeraFarmiga,PatrickWilson,action  thriller,The Commuter,LiamNeeson VeraFarmiga PatrickWilson JaumeCollet-Serra action  thriller
BabakNajafi,TarajiP.Henson,BillyBrown,DannyGlover,thriller  action  crime,Proud Mary,TarajiP.Henson BillyBrown DannyGlover BabakNajafi thriller  action  crime
BrettDonowho,BruceWillis,ColeHauser,ShawnAshmore,action,Acts of Violence,BruceWillis ColeHauser ShawnAshmore BrettDonowho action
TrudieStyler,AlexLawther,AbigailBreslin,BetteMidler,comedy  drama,Freak Show,AlexLawther AbigailBreslin BetteMidler TrudieStyler comedy  drama
SamHoffman,JemaineClement,ElliottGould,IngridMichaelson,comedy,Humor Me,JemaineClement ElliottGould IngridMichaelson SamHoffman comedy
DanielaThomas,AdrianoCarvalho,LuanaNastas,unknown,drama,Vazante,AdrianoCarvalho LuanaNastas unknown DanielaThomas drama
HiromasaYonebayashi,RubyBarnhill,LouisAshbourneSerkis,KateWinslet,fantasy  adventure  animation,Mary and the Witch's Flower,RubyBarnhill LouisAshbourneSerkis KateWinslet HiromasaYonebayashi fantasy  adventure  animation
NicolaiFuglsig,ChrisHemsworth,MichaelShannon,MichaelPeña,war  drama  action  history,12 Strong,ChrisHemsworth MichaelShannon MichaelPeña NicolaiFuglsig war  drama  action  history
ChristianGudegast,GerardButler,50Cent,PabloSchreiber,action  thriller  crime,Den of Thieves,GerardButler 50Cent PabloSchreiber ChristianGudegast action  thriller  crime
BethanyAshtonWolf,AlexRoe,JessicaRothe,JohnBenjaminHickey,romance  drama  music,Forever My Girl,AlexRoe JessicaRothe JohnBenjaminHickey BethanyAshtonWolf romance  drama  music
WesBall,DylanO'Brien,KayaScodelario,ThomasBrodie-Sangster,science fiction  action  adventure  thriller,Maze Runner: The Death Cure,DylanO'Brien KayaScodelario ThomasBrodie-Sangster WesBall science fiction  action  adventure  thriller
ZiadDoueiri,AdelKaram,CamilleSalameh,KamelElBasha,comedy  crime,The Insult,AdelKaram CamilleSalameh KamelElBasha ZiadDoueiri comedy  crime
BenLewin,DakotaFanning,ToniCollette,AliceEve,comedy  drama,Please Stand By,DakotaFanning ToniCollette AliceEve BenLewin comedy  drama
TheSpierigBrothers,HelenMirren,JasonClarke,SarahSnook,horror  thriller,Winchester,HelenMirren JasonClarke SarahSnook TheSpierigBrothers horror  thriller
SebastiánLelio,DanielaVega,FranciscoReyes,unknown,drama,A Fantastic Woman,DanielaVega FranciscoReyes unknown SebastiánLelio drama
MarioVanPeebles,MarioVanPeebles,WilliamFichtner,RyanGuzman,action  horror  thriller,Armed,MarioVanPeebles WilliamFichtner RyanGuzman MarioVanPeebles action  horror  thriller
JuliusOnah,DanielBrühl,ElizabethDebicki,AkselHennie,horror  science fiction  action  thriller,The Cloverfield Paradox,DanielBrühl ElizabethDebicki AkselHennie JuliusOnah horror  science fiction  action  thriller
BryanCoyne,BreaGrant,GrahamSkipper,AlyFitzgerald,horror,Bad Apples,BreaGrant GrahamSkipper AlyFitzgerald BryanCoyne horror
WillGluck,JamesCorden,DomhnallGleeson,RoseByrne,family  comedy  adventure  animation  fantasy,Peter Rabbit,JamesCorden DomhnallGleeson RoseByrne WillGluck family  comedy  adventure  animation  fantasy
JamesFoley,DakotaJohnson,JamieDornan,KimBasinger,drama  romance,Fifty Shades Freed,DakotaJohnson JamieDornan KimBasinger JamesFoley drama  romance
ClintEastwood,AnthonySadler,AlekSkarlatos,SpencerStone,thriller  history  drama,The 15:17 to Paris,AnthonySadler AlekSkarlatos SpencerStone ClintEastwood thriller  history  drama
MarcoPoloConstandse,OmarChaparro,MarimarVega,RyanCarnes,comedy,La Boda de Valentina,OmarChaparro MarimarVega RyanCarnes MarcoPoloConstandse comedy
SurendraPoudel,AnmolK.C.,AditiBudhathoki,AnoopBikramShahi,none,Kri,AnmolK.C. AditiBudhathoki AnoopBikramShahi SurendraPoudel none
BrianCrano,RebeccaHall,DanStevens,MorganSpector,comedy  romance  drama,Permission,RebeccaHall DanStevens MorganSpector BrianCrano comedy  romance  drama
HolgerTappe,EmilyWatson,JasonIsaacs,NickFrost,animation  family,Monster Family,EmilyWatson JasonIsaacs NickFrost HolgerTappe animation  family
AlexRossPerry,EmilyBrowning,AdamHorowitz,Mary-LouiseParker,drama,Golden Exits,EmilyBrowning AdamHorowitz Mary-LouiseParker AlexRossPerry drama
RyanCoogler,ChadwickBoseman,MichaelB.Jordan,LupitaNyong'o,action  adventure  science fiction,Black Panther,ChadwickBoseman MichaelB.Jordan LupitaNyong'o RyanCoogler action  adventure  science fiction
NickPark,EddieRedmayne,TomHiddleston,MaisieWilliams,family  comedy  animation  adventure,Early Man,EddieRedmayne TomHiddleston MaisieWilliams NickPark family  comedy  animation  adventure
AndreyZvyagintsev,MaryanaSpivak,AlexeiRozin,MatveyNovikov,drama,Loveless,MaryanaSpivak AlexeiRozin MatveyNovikov AndreyZvyagintsev drama
SallyPotter,TimothySpall,KristinScottThomas,PatriciaClarkson,fantasy  comedy  drama,The Party,TimothySpall KristinScottThomas PatriciaClarkson SallyPotter fantasy  comedy  drama
MarkPellington,JonHamm,NickOfferman,AmberTamblyn,drama,Nostalgia,JonHamm NickOfferman AmberTamblyn MarkPellington drama
LanceDaly,HugoWeaving,JimBroadbent,StephenRea,drama  western,Black '47,HugoWeaving JimBroadbent StephenRea LanceDaly drama  western
BruceMacdonald,TaylorJames,JacksonRathbone,BillyZane,action  drama  adventure,Samson,TaylorJames JacksonRathbone BillyZane BruceMacdonald action  drama  adventure
"JonathanGoldstein,JohnFrancisDaley",JasonBateman,RachelMcAdams,KyleChandler,mystery  comedy  crime,Game Night,"JasonBateman RachelMcAdams KyleChandler JonathanGoldstein,JohnFrancisDaley mystery  comedy  crime"
AlexGarland,NataliePortman,JenniferJasonLeigh,GinaRodriguez,science fiction  horror,Annihilation,NataliePortman JenniferJasonLeigh GinaRodriguez AlexGarland science fiction  horror
MichaelSucsy,AngourieRice,MariaBello,DebbyRyan,drama  fantasy  romance,Every Day,AngourieRice MariaBello DebbyRyan MichaelSucsy drama  fantasy  romance
DavidFreyne,EllenPage,SamKeeley,TomVaughan-Lawlor,horror  drama  science fiction,The Cured,EllenPage SamKeeley TomVaughan-Lawlor DavidFreyne horror  drama  science fiction
BrianO'Malley,CharlotteVega,BillMilner,EugeneSimon,drama  horror  romance  thriller,The Lodgers,CharlotteVega BillMilner EugeneSimon BrianO'Malley drama  horror  romance  thriller
FrancisLawrence,JenniferLawrence,JoelEdgerton,MatthiasSchoenaerts,mystery  thriller,Red Sparrow,JenniferLawrence JoelEdgerton MatthiasSchoenaerts FrancisLawrence mystery  thriller
EliRoth,BruceWillis,VincentD'Onofrio,DeanNorris,action  crime  drama  thriller,Death Wish,BruceWillis VincentD'Onofrio DeanNorris EliRoth action  crime  drama  thriller
ShawnChristensen,LoganLerman,ElleFanning,MichelleMonaghan,mystery  drama,The Vanishing of Sidney Hall,LoganLerman ElleFanning MichelleMonaghan ShawnChristensen mystery  drama
SamuelMaoz,LiorAshkenazi,SarahAdler,YonatanShiray,comedy  drama  war,Foxtrot,LiorAshkenazi SarahAdler YonatanShiray SamuelMaoz comedy  drama  war
UsherMorgan,ElysePrice,JoelBernard,KatieVincent,thriller  action  crime  drama  mystery,Pickings,ElysePrice JoelBernard KatieVincent UsherMorgan thriller  action  crime  drama  mystery
AvaDuVernay,StormReid,OprahWinfrey,ReeseWitherspoon,adventure  science fiction  family  fantasy,A Wrinkle in Time,StormReid OprahWinfrey ReeseWitherspoon AvaDuVernay adventure  science fiction  family  fantasy
NashEdgerton,DavidOyelowo,CharlizeTheron,JoelEdgerton,action  thriller  crime  drama,Gringo,DavidOyelowo CharlizeTheron JoelEdgerton NashEdgerton action  thriller  crime  drama
CoryFinley,OliviaCooke,AnyaTaylor-Joy,AntonYelchin,drama  thriller,Thoroughbreds,OliviaCooke AnyaTaylor-Joy AntonYelchin CoryFinley drama  thriller
ArmandoIannucci,SteveBuscemi,SimonRussellBeale,PaddyConsidine,comedy  drama  history,The Death of Stalin,SteveBuscemi SimonRussellBeale PaddyConsidine ArmandoIannucci comedy  drama  history
PaoloVirzì,DonaldSutherland,HelenMirren,unknown,drama  romance  adventure,The Leisure Seeker,DonaldSutherland HelenMirren unknown PaoloVirzì drama  romance  adventure
JohannesRoberts,ChristinaHendricks,MartinHenderson,BaileeMadison,horror  thriller,The Strangers: Prey at Night,ChristinaHendricks MartinHenderson BaileeMadison JohannesRoberts horror  thriller
RobCohen,TobyKebbell,MaggieGrace,RyanKwanten,action  crime  thriller,The Hurricane Heist,TobyKebbell MaggieGrace RyanKwanten RobCohen action  crime  thriller
RoarUthaug,AliciaVikander,DominicWest,WaltonGoggins,action  adventure  fantasy,Tomb Raider,AliciaVikander DominicWest WaltonGoggins RoarUthaug action  adventure  fantasy
GregBerlanti,NickRobinson,KatherineLangford,AlexandraShipp,comedy  drama  romance,"Love, Simon",NickRobinson KatherineLangford AlexandraShipp GregBerlanti comedy  drama  romance
JonErwin,ClorisLeachman,DennisQuaid,PriscillaShirer,music  drama,I Can Only Imagine,ClorisLeachman DennisQuaid PriscillaShirer JonErwin music  drama
JoséPadilha,RosamundPike,DanielBrühl,VincentCassel,thriller  drama  crime,7 Days in Entebbe,RosamundPike DanielBrühl VincentCassel JoséPadilha thriller  drama  crime
LaurieCollyer,MelissaLeo,TessaThompson,LaLaAnthony,comedy,Furlough,MelissaLeo TessaThompson LaLaAnthony LaurieCollyer comedy
EricEngland,SophieTurner,DylanMcDermott,JackKilmer,comedy  music,Josie,SophieTurner DylanMcDermott JackKilmer EricEngland comedy  music
MaxWinkler,ZoeyDeutch,KathrynHahn,TimHeidecker,drama  comedy,Flower,ZoeyDeutch KathrynHahn TimHeidecker MaxWinkler drama  comedy
