director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,genresres,comb
StanleyTucci,GeoffreyRush,ArmieHammer,ClémencePoésy,'Drama'  'History',Final Portrait,'drama'  'history',GeoffreyRush ArmieHammer ClémencePoésy StanleyTucci 'Drama'  'History'
ScottSpeer,BellaThorne,PatrickSchwarzenegger,RobRiggle,'Romance'  'Drama',Midnight Sun,'romance'  'drama',BellaThorne PatrickSchwarzenegger RobRiggle ScottSpeer 'Romance'  'Drama'
RyanJustice,AmandaDelaney,JustinMaina,SeanMichaelGloria,'Thriller',Followers,'thriller',AmandaDelaney JustinMaina SeanMichaelGloria RyanJustice 'Thriller'
StevenSpielberg,TyeSheridan,OliviaCooke,BenMendelsohn,'Science Fiction'  'Adventure'  'Action',Ready Player One,'science fiction'  'adventure'  'action',TyeSheridan OliviaCooke BenMendelsohn StevenSpielberg 'Science Fiction'  'Adventure'  'Action'
TylerPerry,TarajiP.Henson,LyriqBent,TikaSumpter,'Thriller',Tyler Perry's Acrimony,'thriller',TarajiP.Henson LyriqBent TikaSumpter TylerPerry 'Thriller'
MichaelMason,DavidA.R.White,JohnCorbett,ShaneHarper,'Drama',God's Not Dead: A Light in Darkness,'drama',DavidA.R.White JohnCorbett ShaneHarper MichaelMason 'Drama'
AaronKatz,LolaKirke,ZoëKravitz,GretaLee,'Science Fiction'  'Action'  'Thriller',Gemini,'science fiction'  'action'  'thriller',LolaKirke ZoëKravitz GretaLee AaronKatz 'Science Fiction'  'Action'  'Thriller'
AdamRifkin,BurtReynolds,ArielWinter,ClarkDuke,'Drama',The Last Movie Star,'drama',BurtReynolds ArielWinter ClarkDuke AdamRifkin 'Drama'
JohnKrasinski,JohnKrasinski,EmilyBlunt,MillicentSimmonds,'Science Fiction'  'Thriller'  'Horror',A Quiet Place,'science fiction'  'thriller'  'horror',JohnKrasinski EmilyBlunt MillicentSimmonds JohnKrasinski 'Science Fiction'  'Thriller'  'Horror'
KayCannon,LeslieMann,IkeBarinholtz,JohnCena,'Comedy',Blockers,'comedy',LeslieMann IkeBarinholtz JohnCena KayCannon 'Comedy'
LynneRamsay,JoaquinPhoenix,EkaterinaSamsonov,AlexManette,'Thriller'  'Drama',You Were Never Really Here,'thriller'  'drama',JoaquinPhoenix EkaterinaSamsonov AlexManette LynneRamsay 'Thriller'  'Drama'
JohnCurran,JasonClarke,KateMara,EdHelms,'History'  'Drama'  'Thriller',Chappaquiddick,'history'  'drama'  'thriller',JasonClarke KateMara EdHelms JohnCurran 'History'  'Drama'  'Thriller'
"DrewFellman,DavidDouglas",KristenBell,unknown,unknown,'Documentary',Pandas,'documentary',"KristenBell unknown unknown DrewFellman,DavidDouglas 'Documentary'"
AndrewHaigh,CharliePlummer,ChloëSevigny,TravisFimmel,'Drama'  'Adventure',Lean on Pete,'drama'  'adventure',CharliePlummer ChloëSevigny TravisFimmel AndrewHaigh 'Drama'  'Adventure'
SeanMcNamara,HelenHunt,WilliamHurt,ErinMoriarty,'Drama',The Miracle Season,'drama',HelenHunt WilliamHurt ErinMoriarty SeanMcNamara 'Drama'
BradAnderson,JonHamm,RosamundPike,DeanNorris,'Action'  'Thriller'  'Drama',Beirut,'action'  'thriller'  'drama',JonHamm RosamundPike DeanNorris BradAnderson 'Action'  'Thriller'  'Drama'
BradPeyton,DwayneJohnson,NaomieHarris,MalinÅkerman,'Action',Rampage,'action',DwayneJohnson NaomieHarris MalinÅkerman BradPeyton 'Action'
JeffWadlow,LucyHale,TylerPosey,ViolettBeane,'Thriller'  'Horror',Truth or Dare,'thriller'  'horror',LucyHale TylerPosey ViolettBeane JeffWadlow 'Thriller'  'Horror'
ChloéZhao,BradyJandreau,unknown,unknown,'Western'  'Drama',The Rider,'western'  'drama',BradyJandreau unknown unknown ChloéZhao 'Western'  'Drama'
RichardLanni,LoganLerman,HelenaBonhamCarter,GérardDepardieu,'Animation'  'Adventure'  'Family'  'History'  'War',Sgt. Stubby: An American Hero,'animation'  'adventure'  'family'  'history'  'war',LoganLerman HelenaBonhamCarter GérardDepardieu RichardLanni 'Animation'  'Adventure'  'Family'  'History'  'War'
"AbbyKohn,MarcSilverstein",AmySchumer,MichelleWilliams,EmilyRatajkowski,'Comedy'  'Romance',I Feel Pretty,'comedy'  'romance',"AmySchumer MichelleWilliams EmilyRatajkowski AbbyKohn,MarcSilverstein 'Comedy'  'Romance'"
JayChandrasekhar,JayChandrasekhar,PaulSoter,SteveLemme,'Comedy'  'Crime'  'Mystery',Super Troopers 2,'comedy'  'crime'  'mystery',JayChandrasekhar PaulSoter SteveLemme JayChandrasekhar 'Comedy'  'Crime'  'Mystery'
DeonTaylor,PaulaPatton,OmarEpps,MissiPyle,'Horror'  'Thriller',Traffik,'horror'  'thriller',PaulaPatton OmarEpps MissiPyle DeonTaylor 'Horror'  'Thriller'
PeterLivolsi,AsaButterfield,NickOfferman,EllenBurstyn,'Drama'  'Comedy',The House of Tomorrow,'drama'  'comedy',AsaButterfield NickOfferman EllenBurstyn PeterLivolsi 'Drama'  'Comedy'
NaokoYamada,AtsumiTanezaki,NaoTōyama,unknown,'Animation'  'Drama'  'Music',Liz and the Blue Bird,'animation'  'drama'  'music',AtsumiTanezaki NaoTōyama unknown NaokoYamada 'Animation'  'Drama'  'Music'
AnthonyRussoandJoeRusso,RobertDowneyJr.,ChrisHemsworth,MarkRuffalo,'Adventure'  'Action'  'Science Fiction',Avengers: Infinity War,'adventure'  'action'  'science fiction',RobertDowneyJr. ChrisHemsworth MarkRuffalo AnthonyRussoandJoeRusso 'Adventure'  'Action'  'Science Fiction'
SebastiánLelio,RachelWeisz,RachelMcAdams,AlessandroNivola,'Drama'  'Romance',Disobedience,'drama'  'romance',RachelWeisz RachelMcAdams AlessandroNivola SebastiánLelio 'Drama'  'Romance'
PerFly,BenKingsley,TheoJames,JacquelineBisset,'Thriller'  'Drama'  'History',Backstabbing for Beginners,'thriller'  'drama'  'history',BenKingsley TheoJames JacquelineBisset PerFly 'Thriller'  'Drama'  'History'
DenizGamzeErgüven,HalleBerry,DanielCraig,unknown,'Adventure'  'Drama'  'Action',Kings,'adventure'  'drama'  'action',HalleBerry DanielCraig unknown DenizGamzeErgüven 'Adventure'  'Drama'  'Action'
"RobGreenberg,BobFisher",AnnaFaris,EugenioDerbez,EvaLongoria,'Romance'  'Comedy',Overboard,'romance'  'comedy',"AnnaFaris EugenioDerbez EvaLongoria RobGreenberg,BobFisher 'Romance'  'Comedy'"
JasonReitman,CharlizeTheron,MackenzieDavis,MarkDuplass,'Drama'  'Comedy',Tully,'drama'  'comedy',CharlizeTheron MackenzieDavis MarkDuplass JasonReitman 'Drama'  'Comedy'
DeanDevlin,DavidTennant,RobertSheehan,CarlitoOlivero,'Thriller'  'Crime'  'Horror',Bad Samaritan,'thriller'  'crime'  'horror',DavidTennant RobertSheehan CarlitoOlivero DeanDevlin 'Thriller'  'Crime'  'Horror'
BobbyMiller,JohnnyGalecki,AnnaFriel,OliverPlatt,'Drama'  'Comedy'  'Fantasy',The Cleanse,'drama'  'comedy'  'fantasy',JohnnyGalecki AnnaFriel OliverPlatt BobbyMiller 'Drama'  'Comedy'  'Fantasy'
XavierBeauvois,NathalieBaye,unknown,unknown,'Family'  'Animation'  'Fantasy'  'Action'  'Adventure',The Guardians,'family'  'animation'  'fantasy'  'action'  'adventure',NathalieBaye unknown unknown XavierBeauvois 'Family'  'Animation'  'Fantasy'  'Action'  'Adventure'
BenFalcone,MelissaMcCarthy,MayaRudolph,MollyGordon,'Comedy',Life of the Party,'comedy',MelissaMcCarthy MayaRudolph MollyGordon BenFalcone 'Comedy'
JamesMcTeigue,GabrielleUnion,BillyBurke,RichardCabral,'Thriller'  'Crime'  'Action'  'Horror',Breaking In,'thriller'  'crime'  'action'  'horror',GabrielleUnion BillyBurke RichardCabral JamesMcTeigue 'Thriller'  'Crime'  'Action'  'Horror'
MichaelMayer,SaoirseRonan,AnnetteBening,CoreyStoll,'Drama'  'Romance'  'Comedy',The Seagull,'drama'  'romance'  'comedy',SaoirseRonan AnnetteBening CoreyStoll MichaelMayer 'Drama'  'Romance'  'Comedy'
VaughnStein,MargotRobbie,SimonPegg,DexterFletcher,'Comedy'  'Drama',Terminal,'comedy'  'drama',MargotRobbie SimonPegg DexterFletcher VaughnStein 'Comedy'  'Drama'
CoralieFargeat,MatildaLutz,KevinJanssens,VincentColombe,'Action'  'Thriller'  'Horror',Revenge,'action'  'thriller'  'horror',MatildaLutz KevinJanssens VincentColombe CoralieFargeat 'Action'  'Thriller'  'Horror'
DavidLeitch,RyanReynolds,JoshBrolin,ZazieBeetz,'Action'  'Comedy'  'Adventure',Deadpool 2,'action'  'comedy'  'adventure',RyanReynolds JoshBrolin ZazieBeetz DavidLeitch 'Action'  'Comedy'  'Adventure'
BillHolderman,JaneFonda,CandiceBergen,MarySteenburgen,'Comedy'  'Romance'  'Drama',Book Club,'comedy'  'romance'  'drama',JaneFonda CandiceBergen MarySteenburgen BillHolderman 'Comedy'  'Romance'  'Drama'
PaulSchrader,EthanHawke,AmandaSeyfried,CedricKyles,'Drama',First Reformed,'drama',EthanHawke AmandaSeyfried CedricKyles PaulSchrader 'Drama'
WimWenders,PopeFrancis,unknown,unknown,'Documentary',Pope Francis: A Man of His Word,'documentary',PopeFrancis unknown unknown WimWenders 'Documentary'
RajaGosnell,WillArnett,NatashaLyonne,Ludacris,'Adventure'  'Crime'  'Family'  'Comedy',Show Dogs,'adventure'  'crime'  'family'  'comedy',WillArnett NatashaLyonne Ludacris RajaGosnell 'Adventure'  'Crime'  'Family'  'Comedy'
RonHoward,AldenEhrenreich,WoodyHarrelson,EmiliaClarke,'Science Fiction'  'Adventure'  'Action'  'Crime',Solo: A Star Wars Story,'science fiction'  'adventure'  'action'  'crime',AldenEhrenreich WoodyHarrelson EmiliaClarke RonHoward 'Science Fiction'  'Adventure'  'Action'  'Crime'
JohnCameronMitchell,ElleFanning,AlexSharp,NicoleKidman,'Comedy'  'Music'  'Romance'  'Science Fiction',How to Talk to Girls at Parties,'comedy'  'music'  'romance'  'science fiction',ElleFanning AlexSharp NicoleKidman JohnCameronMitchell 'Comedy'  'Music'  'Romance'  'Science Fiction'
AnthonyByrne,NatalieDormer,EmilyRatajkowski,EdSkrein,'Drama',In Darkness,'drama',NatalieDormer EmilyRatajkowski EdSkrein AnthonyByrne 'Drama'
BruceLaBruce,SusanneSachße,VivaRuiz,KembraPfahler,'Drama',The Misandrists,'drama',SusanneSachße VivaRuiz KembraPfahler BruceLaBruce 'Drama'
"JamesFranco,BruceThierryCheung",JamesFranco,SukiWaterhouse,JeffreyWahlberg,'Science Fiction',Future World,'science fiction',"JamesFranco SukiWaterhouse JeffreyWahlberg JamesFranco,BruceThierryCheung 'Science Fiction'"
TimKirkby,JohnnyKnoxville,ChrisPontius,unknown,'Comedy'  'Drama',Action Point,'comedy'  'drama',JohnnyKnoxville ChrisPontius unknown TimKirkby 'Comedy'  'Drama'
BaltasarKormákur,ShaileneWoodley,SamClaflin,unknown,'Thriller'  'Romance'  'Adventure',Adrift,'thriller'  'romance'  'adventure',ShaileneWoodley SamClaflin unknown BaltasarKormákur 'Thriller'  'Romance'  'Adventure'
LeighWhannell,LoganMarshall-Green,BettyGabriel,HarrisonGilbertson,'Action'  'Thriller'  'Science Fiction',Upgrade,'action'  'thriller'  'science fiction',LoganMarshall-Green BettyGabriel HarrisonGilbertson LeighWhannell 'Action'  'Thriller'  'Science Fiction'
BartLayton,EvanPeters,BarryKeoghan,BlakeJenner,'Drama'  'Crime'  'Documentary',American Animals,'drama'  'crime'  'documentary',EvanPeters BarryKeoghan BlakeJenner BartLayton 'Drama'  'Crime'  'Documentary'
TheresaBennett,NoëlWells,JoshRadnor,AyaCash,'Comedy'  'Romance',Social Animals,'comedy'  'romance',NoëlWells JoshRadnor AyaCash TheresaBennett 'Comedy'  'Romance'
GaryRoss,SandraBullock,CateBlanchett,AnneHathaway,'Crime'  'Comedy'  'Action',Ocean's 8,'crime'  'comedy'  'action',SandraBullock CateBlanchett AnneHathaway GaryRoss 'Crime'  'Comedy'  'Action'
MorganNeville,FredRogers,unknown,unknown,'Documentary',Won't You Be My Neighbor?,'documentary',FredRogers unknown unknown MorganNeville 'Documentary'
AriAster,ToniCollette,AlexWolff,MillyShapiro,'Horror'  'Mystery'  'Thriller',Hereditary,'horror'  'mystery'  'thriller',ToniCollette AlexWolff MillyShapiro AriAster 'Horror'  'Mystery'  'Thriller'
DrewPearce,JodieFoster,SterlingK.Brown,SofiaBoutella,'Thriller'  'Science Fiction'  'Action',Hotel Artemis,'thriller'  'science fiction'  'action',JodieFoster SterlingK.Brown SofiaBoutella DrewPearce 'Thriller'  'Science Fiction'  'Action'
DirectorX,TrevorJackson,JasonMitchell,MichaelK.Williams,'Action'  'Crime',Superfly,'action'  'crime',TrevorJackson JasonMitchell MichaelK.Williams DirectorX 'Action'  'Crime'
BradBird,CraigT.Nelson,HollyHunter,SarahVowell,'Action'  'Adventure'  'Animation'  'Family',Incredibles 2,'action'  'adventure'  'animation'  'family',CraigT.Nelson HollyHunter SarahVowell BradBird 'Action'  'Adventure'  'Animation'  'Family'
JeffTomsic,EdHelms,JeremyRenner,JonHamm,'Comedy'  'Action',Tag,'comedy'  'action',EdHelms JeremyRenner JonHamm JeffTomsic 'Comedy'  'Action'
DominicCooke,SaoirseRonan,BillyHowle,EmilyWatson,'Drama'  'Romance',On Chesil Beach,'drama'  'romance',SaoirseRonan BillyHowle EmilyWatson DominicCooke 'Drama'  'Romance'
KevinConnolly,JohnTravolta,KellyPreston,StacyKeach,'Crime'  'Drama'  'History'  'Thriller',Gotti,'crime'  'drama'  'history'  'thriller',JohnTravolta KellyPreston StacyKeach KevinConnolly 'Crime'  'Drama'  'History'  'Thriller'
J.A.Bayona,ChrisPratt,BryceDallasHoward,RafeSpall,'Action'  'Adventure'  'Science Fiction',Jurassic World: Fallen Kingdom,'action'  'adventure'  'science fiction',ChrisPratt BryceDallasHoward RafeSpall J.A.Bayona 'Action'  'Adventure'  'Science Fiction'
ShanaFeste,VeraFarmiga,ChristopherPlummer,LewisMacDougall,'Comedy'  'Drama',Boundaries,'comedy'  'drama',VeraFarmiga ChristopherPlummer LewisMacDougall ShanaFeste 'Comedy'  'Drama'
"DavidZellner,NathanZellner",RobertPattinson,MiaWasikowska,unknown,'Comedy'  'Western',Damsel,'comedy'  'western',"RobertPattinson MiaWasikowska unknown DavidZellner,NathanZellner 'Comedy'  'Western'"
MikeP.Nelson,TylerHoechlin,KateBosworth,LanceReddick,'Thriller'  'Horror',The Domestics,'thriller'  'horror',TylerHoechlin KateBosworth LanceReddick MikeP.Nelson 'Thriller'  'Horror'
StefanoSollima,BeniciodelToro,JoshBrolin,IsabelaMoner,'Action'  'Crime'  'Drama'  'Thriller',Sicario: Day of the Soldado,'action'  'crime'  'drama'  'thriller',BeniciodelToro JoshBrolin IsabelaMoner StefanoSollima 'Action'  'Crime'  'Drama'  'Thriller'
DebraGranik,BenFoster,ThomasinMcKenzie,JeffKober,'Drama',Leave No Trace,'drama',BenFoster ThomasinMcKenzie JeffKober DebraGranik 'Drama'
CharlesStoneIII,KyrieIrving,LilRelHowery,ShaquilleO'Neal,'Comedy',Uncle Drew,'comedy',KyrieIrving LilRelHowery ShaquilleO'Neal CharlesStoneIII 'Comedy'
SusannaWhite,JessicaChastain,MichaelGreyeyes,ChaskeSpencer,'Drama'  'History'  'Western',Woman Walks Ahead,'drama'  'history'  'western',JessicaChastain MichaelGreyeyes ChaskeSpencer SusannaWhite 'Drama'  'History'  'Western'
GerardMcMurray,Y'lanNoel,LexScottDavis,JoivanWade,'Action'  'Thriller'  'Horror',The First Purge,'action'  'thriller'  'horror',Y'lanNoel LexScottDavis JoivanWade GerardMcMurray 'Action'  'Thriller'  'Horror'
PeytonReed,PaulRudd,EvangelineLilly,MichaelPeña,'Action'  'Adventure'  'Science Fiction',Ant-Man and the Wasp,'action'  'adventure'  'science fiction',PaulRudd EvangelineLilly MichaelPeña PeytonReed 'Action'  'Adventure'  'Science Fiction'
BootsRiley,LakeithStanfield,TessaThompson,ArmieHammer,'Fantasy'  'Science Fiction'  'Comedy',Sorry to Bother You,'fantasy'  'science fiction'  'comedy',LakeithStanfield TessaThompson ArmieHammer BootsRiley 'Fantasy'  'Science Fiction'  'Comedy'
KevinMacDonald,WhitneyHouston,unknown,unknown,'Music'  'Documentary',Whitney,'music'  'documentary',WhitneyHouston unknown unknown KevinMacDonald 'Music'  'Documentary'
GenndyTartakovsky,AdamSandler,AndySamberg,SelenaGomez,'Family'  'Fantasy'  'Comedy'  'Animation',Hotel Transylvania 3: Summer Vacation,'family'  'fantasy'  'comedy'  'animation',AdamSandler AndySamberg SelenaGomez GenndyTartakovsky 'Family'  'Fantasy'  'Comedy'  'Animation'
RawsonMarshallThurber,DwayneJohnson,NeveCampbell,ChinHan,'Action'  'Thriller',Skyscraper,'action'  'thriller',DwayneJohnson NeveCampbell ChinHan RawsonMarshallThurber 'Action'  'Thriller'
BoBurnham,ElsieFisher,JoshHamilton,EmilyRobinson,'Comedy'  'Drama',Eighth Grade,'comedy'  'drama',ElsieFisher JoshHamilton EmilyRobinson BoBurnham 'Comedy'  'Drama'
GusVanSant,JoaquinPhoenix,RooneyMara,JonahHill,'Comedy'  'Drama',"Don't Worry, He Won't Get Far on Foot",'comedy'  'drama',JoaquinPhoenix RooneyMara JonahHill GusVanSant 'Comedy'  'Drama'
RobReiner,WoodyHarrelson,TommyLeeJones,JamesMarsden,'Drama'  'History'  'Thriller',Shock and Awe,'drama'  'history'  'thriller',WoodyHarrelson TommyLeeJones JamesMarsden RobReiner 'Drama'  'History'  'Thriller'
OlParker,LilyJames,AmandaSeyfried,PierceBrosnan,'Comedy'  'Romance',Mamma Mia! Here We Go Again,'comedy'  'romance',LilyJames AmandaSeyfried PierceBrosnan OlParker 'Comedy'  'Romance'
AntoineFuqua,DenzelWashington,AshtonSanders,PedroPascal,'Action'  'Thriller'  'Crime',The Equalizer 2,'action'  'thriller'  'crime',DenzelWashington AshtonSanders PedroPascal AntoineFuqua 'Action'  'Thriller'  'Crime'
CarlosLópezEstrada,JaninaGavankar,EthanEmbry,DaveedDiggs,'Comedy'  'Drama',Blindspotting,'comedy'  'drama',JaninaGavankar EthanEmbry DaveedDiggs CarlosLópezEstrada 'Comedy'  'Drama'
StephenSusco,ColinWoodell,RebeccaRittenhouse,BettyGabriel,'Horror'  'Mystery'  'Thriller',Unfriended: Dark Web,'horror'  'mystery'  'thriller',ColinWoodell RebeccaRittenhouse BettyGabriel StephenSusco 'Horror'  'Mystery'  'Thriller'
ShinsukeSato,SotaFukushi,HanaSugisaki,unknown,'Action'  'Fantasy'  'Adventure',Bleach,'action'  'fantasy'  'adventure',SotaFukushi HanaSugisaki unknown ShinsukeSato 'Action'  'Fantasy'  'Adventure'
ÉdouardDeluc,VincentCassel,TuheïAdams,MalikZidi,'Drama'  'Romance',Gauguin – Voyage de Tahiti,'drama'  'romance',VincentCassel TuheïAdams MalikZidi ÉdouardDeluc 'Drama'  'Romance'
ChristopherMcQuarrie,TomCruise,HenryCavill,VingRhames,'Action'  'Adventure',Mission: Impossible – Fallout,'action'  'adventure',TomCruise HenryCavill VingRhames ChristopherMcQuarrie 'Action'  'Adventure'
PeterRidaMichail,ScottMenville,KharyPayton,TaraStrong,'Animation'  'Action'  'Comedy'  'Science Fiction',Teen Titans Go! To the Movies,'animation'  'action'  'comedy'  'science fiction',ScottMenville KharyPayton TaraStrong PeterRidaMichail 'Animation'  'Action'  'Comedy'  'Science Fiction'
TsuiHark,TsuiHark(director),ChangChia-lu,ChenKuo-Fu(screenplay),'Mystery'  'Fantasy'  'Adventure'  'Action',Detective Dee: The Four Heavenly Kings,'mystery'  'fantasy'  'adventure'  'action',TsuiHark(director) ChangChia-lu ChenKuo-Fu(screenplay) TsuiHark 'Mystery'  'Fantasy'  'Adventure'  'Action'
ElijahBynum,TimothéeChalamet,MaikaMonroe,AlexRoe,'Drama'  'Comedy',Hot Summer Nights,'drama'  'comedy',TimothéeChalamet MaikaMonroe AlexRoe ElijahBynum 'Drama'  'Comedy'
MarcTurtletaub,KellyMacdonald,IrrfanKhan,DavidDenman,'Drama',Puzzle,'drama',KellyMacdonald IrrfanKhan DavidDenman MarcTurtletaub 'Drama'
MarcForster,EwanMcGregor,HayleyAtwell,JimCummings,'Adventure'  'Comedy'  'Family'  'Fantasy',Christopher Robin,'adventure'  'comedy'  'family'  'fantasy',EwanMcGregor HayleyAtwell JimCummings MarcForster 'Adventure'  'Comedy'  'Family'  'Fantasy'
JenniferYuhNelson,AmandlaStenberg,MandyMoore,HarrisDickinson,'Science Fiction'  'Action'  'Drama'  'Romance'  'Adventure'  'Thriller',The Darkest Minds,'science fiction'  'action'  'drama'  'romance'  'adventure'  'thriller',AmandlaStenberg MandyMoore HarrisDickinson JenniferYuhNelson 'Science Fiction'  'Action'  'Drama'  'Romance'  'Adventure'  'Thriller'
SusannaFogel,MilaKunis,KateMcKinnon,JustinTheroux,'Action'  'Comedy',The Spy Who Dumped Me,'action'  'comedy',MilaKunis KateMcKinnon JustinTheroux SusannaFogel 'Action'  'Comedy'
DesireeAkhavan,ChloëGraceMoretz,SashaLane,JohnGallagher,'Drama',The Miseducation of Cameron Post,'drama',ChloëGraceMoretz SashaLane JohnGallagher DesireeAkhavan 'Drama'
AugustineFrizzell,MaiaMitchell,CamilaMorrone,KyleMooney,'Comedy',Never Goin' Back,'comedy',MaiaMitchell CamilaMorrone KyleMooney AugustineFrizzell 'Comedy'
KenMarino,NinaDobrev,FinnWolfhard,VanessaHudgens,'Romance'  'Comedy'  'Drama',Dog Days,'romance'  'comedy'  'drama',NinaDobrev FinnWolfhard VanessaHudgens KenMarino 'Romance'  'Comedy'  'Drama'
JonTurteltaub,JasonStatham,LiBingbing,RainnWilson,'Action'  'Science Fiction'  'Horror',The Meg,'action'  'science fiction'  'horror',JasonStatham LiBingbing RainnWilson JonTurteltaub 'Action'  'Science Fiction'  'Horror'
SpikeLee,JohnDavidWashington,AdamDriver,LauraHarrier,'Crime'  'Drama'  'Comedy'  'History',BlacKkKlansman,'crime'  'drama'  'comedy'  'history',JohnDavidWashington AdamDriver LauraHarrier SpikeLee 'Crime'  'Drama'  'Comedy'  'History'
SylvainWhite,JoeyKing,JuliaGoldaniTelles,JazSinclair,'Horror'  'Mystery'  'Thriller',Slender Man,'horror'  'mystery'  'thriller',JoeyKing JuliaGoldaniTelles JazSinclair SylvainWhite 'Horror'  'Mystery'  'Thriller'
Jean-StéphaneSauvaire,JoeCole,unknown,unknown,'Drama'  'Action'  'Crime',A Prayer Before Dawn,'drama'  'action'  'crime',JoeCole unknown unknown Jean-StéphaneSauvaire 'Drama'  'Action'  'Crime'
JonM.Chu,ConstanceWu,HenryGolding,GemmaChan,'Comedy'  'Drama'  'Romance',Crazy Rich Asians,'comedy'  'drama'  'romance',ConstanceWu HenryGolding GemmaChan JonM.Chu 'Comedy'  'Drama'  'Romance'
AlbertHughes,KodiSmit-McPhee,LeonorVarela,JensHultén,'Adventure'  'Drama',Alpha,'adventure'  'drama',KodiSmit-McPhee LeonorVarela JensHultén AlbertHughes 'Adventure'  'Drama'
PeterBerg,MarkWahlberg,JohnMalkovich,LaurenCohan,'Action'  'Thriller',Mile 22,'action'  'thriller',MarkWahlberg JohnMalkovich LaurenCohan PeterBerg 'Action'  'Thriller'
BjörnRunge,GlennClose,JonathanPryce,ChristianSlater,'Drama',The Wife,'drama',GlennClose JonathanPryce ChristianSlater BjörnRunge 'Drama'
JamesCox,AnselElgort,TaronEgerton,KevinSpacey,'Drama'  'Thriller',Billionaire Boys Club,'drama'  'thriller',AnselElgort TaronEgerton KevinSpacey JamesCox 'Drama'  'Thriller'
JessePeretz,EthanHawke,RoseByrne,unknown,'Comedy'  'Drama'  'Romance',"Juliet, Naked",'comedy'  'drama'  'romance',EthanHawke RoseByrne unknown JessePeretz 'Comedy'  'Drama'  'Romance'
RodrigoCortés,AnnaSophiaRobb,UmaThurman,IsabelleFuhrman,'Thriller'  'Drama'  'Fantasy'  'Horror',Down a Dark Hall,'thriller'  'drama'  'fantasy'  'horror',AnnaSophiaRobb UmaThurman IsabelleFuhrman RodrigoCortés 'Thriller'  'Drama'  'Fantasy'  'Horror'
SusanJohnson,LanaCondor,NoahCentineo,AnnaCathcart,'Comedy'  'Romance',To All the Boys I've Loved Before,'comedy'  'romance',LanaCondor NoahCentineo AnnaCathcart SusanJohnson 'Comedy'  'Romance'
BrianHenson,MelissaMcCarthy,MayaRudolph,JoelMcHale,'Action'  'Comedy'  'Crime',The Happytime Murders,'action'  'comedy'  'crime',MelissaMcCarthy MayaRudolph JoelMcHale BrianHenson 'Action'  'Comedy'  'Crime'
AneeshChaganty,JohnCho,DebraMessing,unknown,'Thriller'  'Mystery'  'Drama',Searching,'thriller'  'mystery'  'drama',JohnCho DebraMessing unknown AneeshChaganty 'Thriller'  'Mystery'  'Drama'
MichaelNoer,CharlieHunnam,RamiMalek,unknown,'Drama'  'History'  'Crime',Papillon,'drama'  'history'  'crime',CharlieHunnam RamiMalek unknown MichaelNoer 'Drama'  'History'  'Crime'
OliverDaly,AlexNeustaedter,BeckyG,AlexMacNicoll,'Science Fiction'  'Action'  'Adventure'  'Family',A.X.L.,'science fiction'  'action'  'adventure'  'family',AlexNeustaedter BeckyG AlexMacNicoll OliverDaly 'Science Fiction'  'Action'  'Adventure'  'Family'
ChrisWeitz,OscarIsaac,BenKingsley,LiorRaz,'Drama'  'History'  'Thriller',Operation Finale,'drama'  'history'  'thriller',OscarIsaac BenKingsley LiorRaz ChrisWeitz 'Drama'  'History'  'Thriller'
"JonathanBaker,JoshBaker",MylesTruitt,JackReynor,ZoëKravitz,'Crime'  'Drama'  'Thriller',Kin,'crime'  'drama'  'thriller',"MylesTruitt JackReynor ZoëKravitz JonathanBaker,JoshBaker 'Crime'  'Drama'  'Thriller'"
LennyAbrahamson,DomhnallGleeson,RuthWilson,WillPoulter,'Mystery'  'Drama'  'Horror'  'History',The Little Stranger,'mystery'  'drama'  'horror'  'history',DomhnallGleeson RuthWilson WillPoulter LennyAbrahamson 'Mystery'  'Drama'  'Horror'  'History'
VictorLevin,WinonaRyder,KeanuReeves,unknown,'Romance'  'Comedy'  'Drama',Destination Wedding,'romance'  'comedy'  'drama',WinonaRyder KeanuReeves unknown VictorLevin 'Romance'  'Comedy'  'Drama'
CorinHardy,DemiánBichir,TaissaFarmiga,JonasBloquet,'Horror'  'Mystery'  'Thriller',The Nun,'horror'  'mystery'  'thriller',DemiánBichir TaissaFarmiga JonasBloquet CorinHardy 'Horror'  'Mystery'  'Thriller'
PierreMorel,JenniferGarner,JohnOrtiz,JuanPabloRaba,'Action'  'Thriller',Peppermint,'action'  'thriller',JenniferGarner JohnOrtiz JuanPabloRaba PierreMorel 'Action'  'Thriller'
ShaneBlack,BoydHolbrook,TrevanteRhodes,JacobTremblay,'Science Fiction'  'Action'  'Adventure'  'Comedy',The Predator,'science fiction'  'action'  'adventure'  'comedy',BoydHolbrook TrevanteRhodes JacobTremblay ShaneBlack 'Science Fiction'  'Action'  'Adventure'  'Comedy'
YannDemange,MatthewMcConaughey,RichieMerritt,BelPowley,'Crime'  'Drama',White Boy Rick,'crime'  'drama',MatthewMcConaughey RichieMerritt BelPowley YannDemange 'Crime'  'Drama'
PaulFeig,AnnaKendrick,BlakeLively,HenryGolding,'Crime'  'Thriller'  'Mystery'  'Comedy',A Simple Favor,'crime'  'thriller'  'mystery'  'comedy',AnnaKendrick BlakeLively HenryGolding PaulFeig 'Crime'  'Thriller'  'Mystery'  'Comedy'
