director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,genresres,comb
OttoBathurst,TaronEgerton,JamieFoxx,BenMendelsohn,'Adventure',Robin Hood,'adventure',TaronEgerton JamieFoxx BenMendelsohn OttoBathurst 'Adventure'
AlfonsoCuarón,YalitzaAparicio,MarinadeTavira,FernandoGrediaga,'Drama',Roma,'drama',YalitzaAparicio MarinadeTavira FernandoGrediaga AlfonsoCuarón 'Drama'
YorgosLanthimos,OliviaColman,EmmaStone,RachelWeisz,'History'  'Drama'  'Comedy',The Favourite,'history'  'drama'  'comedy',OliviaColman EmmaStone RachelWeisz YorgosLanthimos 'History'  'Drama'  'Comedy'
AndySerkis,RohanChand,ChristianBale,CateBlanchett,'Adventure'  'Drama',Mowgli: Legend of the Jungle,'adventure'  'drama',RohanChand ChristianBale CateBlanchett AndySerkis 'Adventure'  'Drama'
JohnMcPhail,EllaHunt,MalcolmCumming,MarliSiu,'Horror'  'Comedy'  'Fantasy',Anna and the Apocalypse,'horror'  'comedy'  'fantasy',EllaHunt MalcolmCumming MarliSiu JohnMcPhail 'Horror'  'Comedy'  'Fantasy'
NadineLabaki,ZainAlRafeea,YordanosShiferaw,BoluwatifeTreasureBankole,'Drama',Capernaum,'drama',ZainAlRafeea YordanosShiferaw BoluwatifeTreasureBankole NadineLabaki 'Drama'
JosieRourke,SaoirseRonan,MargotRobbie,JackLowden,'Drama'  'History',Mary Queen of Scots,'drama'  'history',SaoirseRonan MargotRobbie JackLowden JosieRourke 'Drama'  'History'
PeterHedges,LucasHedges,JuliaRoberts,KathrynNewton,'Drama',Ben Is Back,'drama',LucasHedges JuliaRoberts KathrynNewton PeterHedges 'Drama'
"BobPersichetti,PeterRamsey,RodneyRothman",ShameikMoore,JakeJohnson,HaileeSteinfeld,'Action'  'Adventure'  'Animation'  'Science Fiction'  'Comedy',Spider-Man: Into the Spider-Verse,'action'  'adventure'  'animation'  'science fiction'  'comedy',"ShameikMoore JakeJohnson HaileeSteinfeld BobPersichetti,PeterRamsey,RodneyRothman 'Action'  'Adventure'  'Animation'  'Science Fiction'  'Comedy'"
ChristianRivers,HugoWeaving,HeraHilmar,RobertSheehan,'Adventure'  'Science Fiction',Mortal Engines,'adventure'  'science fiction',HugoWeaving HeraHilmar RobertSheehan ChristianRivers 'Adventure'  'Science Fiction'
ClintEastwood,ClintEastwood,BradleyCooper,LaurenceFishburne,'Crime'  'Drama'  'Thriller',The Mule,'crime'  'drama'  'thriller',ClintEastwood BradleyCooper LaurenceFishburne ClintEastwood 'Crime'  'Drama'  'Thriller'
BarryJenkins,KikiLayne,StephanJames,TeyonahParris,'Romance'  'Drama',If Beale Street Could Talk,'romance'  'drama',KikiLayne StephanJames TeyonahParris BarryJenkins 'Romance'  'Drama'
RobMarshall,EmilyBlunt,Lin-ManuelMiranda,BenWhishaw,'Fantasy'  'Family'  'Comedy',Mary Poppins Returns,'fantasy'  'family'  'comedy',EmilyBlunt Lin-ManuelMiranda BenWhishaw RobMarshall 'Fantasy'  'Family'  'Comedy'
JamesWan,JasonMomoa,AmberHeard,WillemDafoe,'Action'  'Adventure'  'Fantasy',Aquaman,'action'  'adventure'  'fantasy',JasonMomoa AmberHeard WillemDafoe JamesWan 'Action'  'Adventure'  'Fantasy'
TravisKnight,HaileeSteinfeld,JohnCena,JorgeLendeborgJr.,'Action'  'Adventure'  'Science Fiction',Bumblebee,'action'  'adventure'  'science fiction',HaileeSteinfeld JohnCena JorgeLendeborgJr. TravisKnight 'Action'  'Adventure'  'Science Fiction'
RobertZemeckis,SteveCarell,LeslieMann,DianeKruger,'Drama'  'Comedy'  'Fantasy',Welcome to Marwen,'drama'  'comedy'  'fantasy',SteveCarell LeslieMann DianeKruger RobertZemeckis 'Drama'  'Comedy'  'Fantasy'
PeterSegal,JenniferLopez,LeahRemini,VanessaHudgens,'Romance'  'Comedy',Second Act,'romance'  'comedy',JenniferLopez LeahRemini VanessaHudgens PeterSegal 'Romance'  'Comedy'
PawełPawlikowski,JoannaKulig,TomaszKot,AgataKulesza,'Comedy'  'Romance',Cold War,'comedy'  'romance',JoannaKulig TomaszKot AgataKulesza PawełPawlikowski 'Comedy'  'Romance'
EtanCohen,WillFerrell,JohnC.Reilly,RebeccaHall,'Mystery'  'Adventure'  'Comedy'  'Crime',Holmes & Watson,'mystery'  'adventure'  'comedy'  'crime',WillFerrell JohnC.Reilly RebeccaHall EtanCohen 'Mystery'  'Adventure'  'Comedy'  'Crime'
AdamMcKay,ChristianBale,AmyAdams,SteveCarell,'Thriller'  'Science Fiction'  'Action'  'Adventure',Vice,'thriller'  'science fiction'  'action'  'adventure',ChristianBale AmyAdams SteveCarell AdamMcKay 'Thriller'  'Science Fiction'  'Action'  'Adventure'
MimiLeder,FelicityJones,ArmieHammer,JustinTheroux,'Drama'  'History',On the Basis of Sex,'drama'  'history',FelicityJones ArmieHammer JustinTheroux MimiLeder 'Drama'  'History'
KarynKusama,NicoleKidman,SebastianStan,TobyKebbell,'Thriller'  'Crime'  'Drama'  'Action',Destroyer,'thriller'  'crime'  'drama'  'action',NicoleKidman SebastianStan TobyKebbell KarynKusama 'Thriller'  'Crime'  'Drama'  'Action'
DavidSlade,FionnWhitehead,WillPoulter,AsimChaudhry,'Science Fiction'  'Mystery'  'Drama'  'Thriller'  'TV Movie',Black Mirror: Bandersnatch,'science fiction'  'mystery'  'drama'  'thriller'  'tv movie',FionnWhitehead WillPoulter AsimChaudhry DavidSlade 'Science Fiction'  'Mystery'  'Drama'  'Thriller'  'TV Movie'
